Altium Designer Pick and Place Locations,,,,,,
,,,,,,
========================================================================================================================,,,,,,
File Design Information:,,,,,,
,,,,,,
Date:       30/09/24,,,,,,
Time:       22:30,,,,,,
Revision:   Not in VersionControl,,,,,,
Variant:    No variations,,,,,,
Units used: mm,,,,,,
,,,,,,
Designator,Comment,Layer,Footprint,Center-X(mm),Center-Y(mm),Rotation
U3,ZX-PZ2.54-1-15PZZ,BottomLayer,HDR-TH_15P-P2.54-V-M,35.5961,3.996,0
U2,LMV321,BottomLayer,SOT-23-5,45.026,22.4502,90
U1,TLD7002-16ES,BottomLayer,TSDSO-24,33.655,16.383,180
R24,10K ¡À1%,BottomLayer,0805_Res,42.926,25.654,0
R23,100K ¡À1%,BottomLayer,0805_Res,42.037,22.1002,270
R22,100K ¡À1%,BottomLayer,0805_Res,42.962,18.923,180
R21,100K ¡À1%,BottomLayer,0805_Res,47.0416,18.923,0
R20,100K ¡À1%,BottomLayer,0805_Res,47.9666,22.1002,270
R19,100R ¡À1%,BottomLayer,0805_Res,52.07,22.098,270
R18,10K ¡À1%,BottomLayer,0805_Res,8.453,4.1748,270
R17,1K ¡À1%,BottomLayer,0805_Res,14.93,3.996,90
R16,10K ¡À1%,BottomLayer,0805_Res,8.453,9.2548,270
R15,1K ¡À1%,BottomLayer,0805_Res,14.93,9.076,90
R14,10K ¡À1%,BottomLayer,0805_Res,8.453,14.3348,270
R13,1K ¡À1%,BottomLayer,0805_Res,14.93,14.156,90
R12,10K ¡À1%,BottomLayer,0805_Res,8.453,19.4148,270
R11,1K ¡À1%,BottomLayer,0805_Res,14.93,19.236,90
R10,10K ¡À1%,BottomLayer,0805_Res,8.453,24.4948,270
R9,1K ¡À1%,BottomLayer,0805_Res,14.93,24.316,90
R8,10K ¡À1%,BottomLayer,0805_Res,8.453,29.5748,270
R7,1K ¡À1%,BottomLayer,0805_Res,14.93,29.396,90
R6,10K ¡À1%,BottomLayer,0805_Res,8.382,34.569,270
R5,1K ¡À1%,BottomLayer,0805_Res,14.93,34.5439,90
R4,1K ¡À1%,BottomLayer,0805_Res,28.067,23.495,90
R3,4.7K ¡À1%,BottomLayer,0805_Res,23.876,17.78,270
R2,3.3K ¡À1%,BottomLayer,0805_Res,31.623,22.479,0
R1,3.3K ¡À1%,BottomLayer,0805_Res,31.623,24.638,180
Q14,S8050,BottomLayer,SOT-23,12.136,4.1498,90
Q13,S8050,BottomLayer,SOT-23,12.136,9.2298,90
Q12,S8050,BottomLayer,SOT-23,12.136,14.3098,90
Q11,AO3401,BottomLayer,SOT-23,5.461,4.1498,180
Q10,AO3401,BottomLayer,SOT-23,5.461,9.2298,180
Q9,AO3401,BottomLayer,SOT-23,5.461,14.3098,180
Q8,S8050,BottomLayer,SOT-23,12.136,19.3898,90
Q7,S8050,BottomLayer,SOT-23,12.136,24.4698,90
Q6,S8050,BottomLayer,SOT-23,12.136,29.5498,90
Q5,S8050,BottomLayer,SOT-23,12.136,34.5439,90
Q4,AO3401,BottomLayer,SOT-23,5.461,19.3898,180
Q3,AO3401,BottomLayer,SOT-23,5.461,24.4698,180
Q2,AO3401,BottomLayer,SOT-23,5.461,29.5498,180
Q1,AO3401,BottomLayer,SOT-23,5.461,34.544,180
P1,Header-D-M 2x11P,TopLayer,HDR2X11-M,33.7,33.27,0
D1,LED_Dot_Matrix 7x15,BottomLayer,LED_DOT_MATRIX_7X15,27.5491,18.0295,180
C6,100nF 50V X7R,BottomLayer,0805C,46.976,25.654,0
C5,100nF 50V X7R,BottomLayer,0805C,50.943,18.923,180
C4,470nF 50V X7R,BottomLayer,0805C,28.008,19.756,270
C3,470nF 50V X7R,BottomLayer,0805C,25.908,19.756,270
C2,100nF 50V X7R,BottomLayer,0805C,35.687,22.352,180
C1,4.7uF 25V X5R,BottomLayer,0805C,35.687,24.638,180
